Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,"International migrant stock, total",SM.POP.TOTL,4868,0,0,0,0,5807,0,0,0,0,6914,0,0,0,0,7941,0,0,0,0,9120,0,0,0,0,10474,0,0,0,0,12029,0,0,0,0,17550,0,0,0,0,23071,0,0,0,0,24741,0,0,0,0,26412,0,0,0,0,28083
Australia,AUS,"International migrant stock, total",SM.POP.TOTL,1698085,0,0,0,0,2054727,0,0,0,0,2456522,0,0,0,0,2659453,0,0,0,0,2896444,0,0,0,0,3143480,0,0,0,0,3955213,0,0,0,0,4153330,0,0,0,0,4386250,0,0,0,0,4878030,0,0,0,0,5882980,0,0,0,0,6763663
Austria,AUT,"International migrant stock, total",SM.POP.TOTL,806643,0,0,0,0,744995,0,0,0,0,676679,0,0,0,0,721037,0,0,0,0,719958,0,0,0,0,728326,0,0,0,0,793239,0,0,0,0,894893,0,0,0,0,996547,0,0,0,0,1136270,0,0,0,0,1275992,0,0,0,0,1492374
Azerbaijan,AZE,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360600,0,0,0,0,344070,0,0,0,0,327540,0,0,0,0,302220,0,0,0,0,276901,0,0,0,0,264241
Burundi,BDI,"International migrant stock, total",SM.POP.TOTL,126323,0,0,0,0,184633,0,0,0,0,143820,0,0,0,0,139741,0,0,0,0,223791,0,0,0,0,343406,0,0,0,0,333110,0,0,0,0,254853,0,0,0,0,125628,0,0,0,0,172874,0,0,0,0,235259,0,0,0,0,286810
Belgium,BEL,"International migrant stock, total",SM.POP.TOTL,441555,0,0,0,0,606859,0,0,0,0,695361,0,0,0,0,820201,0,0,0,0,896823,0,0,0,0,871821,0,0,0,0,891537,0,0,0,0,885278,0,0,0,0,853369,0,0,0,0,870862,0,0,0,0,1052844,0,0,0,0,1387940
Benin,BEN,"International migrant stock, total",SM.POP.TOTL,34019,0,0,0,0,38777,0,0,0,0,44750,0,0,0,0,50383,0,0,0,0,57430,0,0,0,0,67713,0,0,0,0,76212,0,0,0,0,104971,0,0,0,0,133730,0,0,0,0,171499,0,0,0,0,209267,0,0,0,0,245399
Burkina Faso,BFA,"International migrant stock, total",SM.POP.TOTL,62943,0,0,0,0,74981,0,0,0,0,89322,0,0,0,0,106405,0,0,0,0,170487,0,0,0,0,273256,0,0,0,0,349657,0,0,0,0,434848,0,0,0,0,520039,0,0,0,0,596972,0,0,0,0,673904,0,0,0,0,704676
Bangladesh,BGD,"International migrant stock, total",SM.POP.TOTL,661411,0,0,0,0,685166,0,0,0,0,726989,0,0,0,0,768579,0,0,0,0,804526,0,0,0,0,842155,0,0,0,0,881617,0,0,0,0,934735,0,0,0,0,987853,0,0,0,0,1166700,0,0,0,0,1345546,0,0,0,0,1422805
Bulgaria,BGR,"International migrant stock, total",SM.POP.TOTL,20295,0,0,0,0,20783,0,0,0,0,21189,0,0,0,0,21513,0,0,0,0,21709,0,0,0,0,21846,0,0,0,0,21510,0,0,0,0,32435,0,0,0,0,43360,0,0,0,0,61074,0,0,0,0,76287,0,0,0,0,102113
Bahrain,BHR,"International migrant stock, total",SM.POP.TOTL,26733,0,0,0,0,38357,0,0,0,0,37946,0,0,0,0,60092,0,0,0,0,103466,0,0,0,0,137052,0,0,0,0,173212,0,0,0,0,205979,0,0,0,0,239361,0,0,0,0,404018,0,0,0,0,657856,0,0,0,0,704137
"Bahamas, The",BHS,"International migrant stock, total",SM.POP.TOTL,11331,0,0,0,0,18754,0,0,0,0,30916,0,0,0,0,27217,0,0,0,0,24078,0,0,0,0,25429,0,0,0,0,26855,0,0,0,0,31654,0,0,0,0,36454,0,0,0,0,45595,0,0,0,0,54736,0,0,0,0,59306
Bosnia and Herzegovina,BIH,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,0,0,0,0,69476,0,0,0,0,82952,0,0,0,0,47272,0,0,0,0,38792,0,0,0,0,34803
Belarus,BLR,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248977,0,0,0,0,1186282,0,0,0,0,1123586,0,0,0,0,1106982,0,0,0,0,1090378,0,0,0,0,1082905
Belize,BLZ,"International migrant stock, total",SM.POP.TOTL,7621,0,0,0,0,8831,0,0,0,0,10197,0,0,0,0,10953,0,0,0,0,13859,0,0,0,0,25673,0,0,0,0,30404,0,0,0,0,33446,0,0,0,0,36488,0,0,0,0,41424,0,0,0,0,46360,0,0,0,0,53860
Bermuda,BMU,"International migrant stock, total",SM.POP.TOTL,8749,0,0,0,0,11083,0,0,0,0,14258,0,0,0,0,14335,0,0,0,0,14189,0,0,0,0,14917,0,0,0,0,15683,0,0,0,0,16676,0,0,0,0,17668,0,0,0,0,18276,0,0,0,0,18884,0,0,0,0,19126
Bolivia,BOL,"International migrant stock, total",SM.POP.TOTL,42709,0,0,0,0,46944,0,0,0,0,51599,0,0,0,0,56715,0,0,0,0,58481,0,0,0,0,59033,0,0,0,0,73758,0,0,0,0,83598,0,0,0,0,92658,0,0,0,0,107745,0,0,0,0,122846,0,0,0,0,142989
Brazil,BRA,"International migrant stock, total",SM.POP.TOTL,1397119,0,0,0,0,1314922,0,0,0,0,1231834,0,0,0,0,1170533,0,0,0,0,1112834,0,0,0,0,944562,0,0,0,0,798517,0,0,0,0,741557,0,0,0,0,684596,0,0,0,0,638582,0,0,0,0,592568,0,0,0,0,713568
Barbados,BRB,"International migrant stock, total",SM.POP.TOTL,9760,0,0,0,0,11443,0,0,0,0,13420,0,0,0,0,15850,0,0,0,0,18671,0,0,0,0,19985,0,0,0,0,24024,0,0,0,0,26224,0,0,0,0,28424,0,0,0,0,30624,0,0,0,0,32825,0,0,0,0,34475
Brunei Darussalam,BRN,"International migrant stock, total",SM.POP.TOTL,20562,0,0,0,0,26038,0,0,0,0,32903,0,0,0,0,41032,0,0,0,0,50977,0,0,0,0,61374,0,0,0,0,73200,0,0,0,0,84748,0,0,0,0,96296,0,0,0,0,98441,0,0,0,0,100587,0,0,0,0,102733
Bhutan,BTN,"International migrant stock, total",SM.POP.TOTL,9676,0,0,0,0,11243,0,0,0,0,13063,0,0,0,0,15178,0,0,0,0,17635,0,0,0,0,20490,0,0,0,0,23807,0,0,0,0,27972,0,0,0,0,32137,0,0,0,0,40279,0,0,0,0,48420,0,0,0,0,51106
Botswana,BWA,"International migrant stock, total",SM.POP.TOTL,7199,0,0,0,0,8655,0,0,0,0,10404,0,0,0,0,12507,0,0,0,0,15036,0,0,0,0,20034,0,0,0,0,27510,0,0,0,0,40168,0,0,0,0,57064,0,0,0,0,88829,0,0,0,0,120912,0,0,0,0,160644
Central African Republic,CAF,"International migrant stock, total",SM.POP.TOTL,43128,0,0,0,0,45905,0,0,0,0,48861,0,0,0,0,52007,0,0,0,0,55355,0,0,0,0,58919,0,0,0,0,67234,0,0,0,0,99712,0,0,0,0,123529,0,0,0,0,94449,0,0,0,0,93466,0,0,0,0,81598
Canada,CAN,"International migrant stock, total",SM.POP.TOTL,2766304,0,0,0,0,3020552,0,0,0,0,3251353,0,0,0,0,3517845,0,0,0,0,3810578,0,0,0,0,3900558,0,0,0,0,4333318,0,0,0,0,4864778,0,0,0,0,5511914,0,0,0,0,6078985,0,0,0,0,7011226,0,0,0,0,7835502
Central Europe and the Baltics,CEB,"International migrant stock, total",SM.POP.TOTL,3294191,0,0,0,0,3075673,0,0,0,0,2830332,0,0,0,0,2470240,0,0,0,0,2136842,0,0,0,0,1850311,0,0,0,0,3815082,0,0,0,0,3665285,0,0,0,0,3279999,0,0,0,0,3336747,0,0,0,0,3374888,0,0,0,0,3394733
Switzerland,CHE,"International migrant stock, total",SM.POP.TOTL,714235,0,0,0,0,887150,0,0,0,0,1091990,0,0,0,0,1089203,0,0,0,0,1065788,0,0,0,0,1203202,0,0,0,0,1392282,0,0,0,0,1478829,0,0,0,0,1570756,0,0,0,0,1805437,0,0,0,0,2075182,0,0,0,0,2438702
Channel Islands,CHI,"International migrant stock, total",SM.POP.TOTL,33482,0,0,0,0,39739,0,0,0,0,47165,0,0,0,0,50280,0,0,0,0,52493,0,0,0,0,38770,0,0,0,0,61660,0,0,0,0,60519,0,0,0,0,64301,0,0,0,0,70941,0,0,0,0,77581,0,0,0,0,82307
Chile,CHL,"International migrant stock, total",SM.POP.TOTL,104805,0,0,0,0,97551,0,0,0,0,90271,0,0,0,0,85985,0,0,0,0,81903,0,0,0,0,90096,0,0,0,0,107501,0,0,0,0,142417,0,0,0,0,177332,0,0,0,0,273384,0,0,0,0,369436,0,0,0,0,469436
China,CHN,"International migrant stock, total",SM.POP.TOTL,245684,0,0,0,0,260479,0,0,0,0,280404,0,0,0,0,298474,0,0,0,0,311194,0,0,0,0,323937,0,0,0,0,376361,0,0,0,0,442198,0,0,0,0,508034,0,0,0,0,678947,0,0,0,0,849861,0,0,0,0,978046
Cote d'Ivoire,CIV,"International migrant stock, total",SM.POP.TOTL,767019,0,0,0,0,956111,0,0,0,0,1191820,0,0,0,0,1391404,0,0,0,0,1520693,0,0,0,0,1661995,0,0,0,0,1816426,0,0,0,0,2076394,0,0,0,0,1994135,0,0,0,0,2010824,0,0,0,0,2095185,0,0,0,0,2175399
Cameroon,CMR,"International migrant stock, total",SM.POP.TOTL,175430,0,0,0,0,187956,0,0,0,0,201375,0,0,0,0,215753,0,0,0,0,231157,0,0,0,0,247661,0,0,0,0,265344,0,0,0,0,246864,0,0,0,0,228383,0,0,0,0,258737,0,0,0,0,289091,0,0,0,0,381984
"Congo, Dem. Rep.",COD,"International migrant stock, total",SM.POP.TOTL,1006930,0,0,0,0,1322475,0,0,0,0,1424581,0,0,0,0,1218362,0,0,0,0,1204366,0,0,0,0,725303,0,0,0,0,754194,0,0,0,0,1816963,0,0,0,0,744387,0,0,0,0,622869,0,0,0,0,588950,0,0,0,0,545694
"Congo, Rep.",COG,"International migrant stock, total",SM.POP.TOTL,26315,0,0,0,0,34324,0,0,0,0,44771,0,0,0,0,58398,0,0,0,0,76172,0,0,0,0,99356,0,0,0,0,129597,0,0,0,0,191635,0,0,0,0,305002,0,0,0,0,315238,0,0,0,0,419649,0,0,0,0,392996
Colombia,COL,"International migrant stock, total",SM.POP.TOTL,58675,0,0,0,0,74918,0,0,0,0,79591,0,0,0,0,84796,0,0,0,0,90848,0,0,0,0,97331,0,0,0,0,104277,0,0,0,0,106943,0,0,0,0,109609,0,0,0,0,107612,0,0,0,0,124271,0,0,0,0,133134
Comoros,COM,"International migrant stock, total",SM.POP.TOTL,1507,0,0,0,0,2138,0,0,0,0,3614,0,0,0,0,7098,0,0,0,0,14655,0,0,0,0,14364,0,0,0,0,14079,0,0,0,0,13939,0,0,0,0,13799,0,0,0,0,13209,0,0,0,0,12618,0,0,0,0,12555
Cabo Verde,CPV,"International migrant stock, total",SM.POP.TOTL,6613,0,0,0,0,6953,0,0,0,0,7310,0,0,0,0,7685,0,0,0,0,8080,0,0,0,0,8495,0,0,0,0,8931,0,0,0,0,9979,0,0,0,0,11027,0,0,0,0,12700,0,0,0,0,14373,0,0,0,0,14924
Costa Rica,CRI,"International migrant stock, total",SM.POP.TOTL,32693,0,0,0,0,32073,0,0,0,0,25432,0,0,0,0,29169,0,0,0,0,68657,0,0,0,0,116745,0,0,0,0,417628,0,0,0,0,364287,0,0,0,0,310946,0,0,0,0,358175,0,0,0,0,405404,0,0,0,0,421697
Caribbean small states,CSS,"International migrant stock, total",SM.POP.TOTL,187880,0,0,0,0,185362,0,0,0,0,190217,0,0,0,0,183279,0,0,0,0,181109,0,0,0,0,194282,0,0,0,0,205846,0,0,0,0,230403,0,0,0,0,257852,0,0,0,0,290233,0,0,0,0,321650,0,0,0,0,349562
Cuba,CUB,"International migrant stock, total",SM.POP.TOTL,143616,0,0,0,0,136612,0,0,0,0,129950,0,0,0,0,93317,0,0,0,0,67010,0,0,0,0,48120,0,0,0,0,34555,0,0,0,0,26187,0,0,0,0,17818,0,0,0,0,17023,0,0,0,0,14818,0,0,0,0,13336
Curacao,CUW,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34627,0,0,0,0,37611
Cayman Islands,CYM,"International migrant stock, total",SM.POP.TOTL,957,0,0,0,0,1220,0,0,0,0,1586,0,0,0,0,3069,0,0,0,0,5722,0,0,0,0,8583,0,0,0,0,9387,0,0,0,0,14320,0,0,0,0,19253,0,0,0,0,21655,0,0,0,0,24057,0,0,0,0,23726
Cyprus,CYP,"International migrant stock, total",SM.POP.TOTL,29589,0,0,0,0,32483,0,0,0,0,34485,0,0,0,0,36610,0,0,0,0,38866,0,0,0,0,41262,0,0,0,0,43805,0,0,0,0,61941,0,0,0,0,80076,0,0,0,0,117165,0,0,0,0,187923,0,0,0,0,196167
Czech Republic,CZE,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110394,0,0,0,0,165592,0,0,0,0,220789,0,0,0,0,322540,0,0,0,0,397785,0,0,0,0,405093
Germany,DEU,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5936181,0,0,0,0,7464406,0,0,0,0,8992631,0,0,0,0,10299160,0,0,0,0,11605690,0,0,0,0,12005690
Djibouti,DJI,"International migrant stock, total",SM.POP.TOTL,11766,0,0,0,0,15883,0,0,0,0,21440,0,0,0,0,28941,0,0,0,0,80230,0,0,0,0,67188,0,0,0,0,122221,0,0,0,0,99774,0,0,0,0,100507,0,0,0,0,92091,0,0,0,0,101575,0,0,0,0,112351
Dominica,DMA,"International migrant stock, total",SM.POP.TOTL,2390,0,0,0,0,2219,0,0,0,0,2061,0,0,0,0,1913,0,0,0,0,1777,0,0,0,0,2072,0,0,0,0,2519,0,0,0,0,3121,0,0,0,0,3723,0,0,0,0,4744,0,0,0,0,5765,0,0,0,0,6720
Denmark,DNK,"International migrant stock, total",SM.POP.TOTL,93989,0,0,0,0,99954,0,0,0,0,117442,0,0,0,0,138684,0,0,0,0,163769,0,0,0,0,195793,0,0,0,0,235189,0,0,0,0,303108,0,0,0,0,371026,0,0,0,0,440383,0,0,0,0,509740,0,0,0,0,572520
Dominican Republic,DOM,"International migrant stock, total",SM.POP.TOTL,144583,0,0,0,0,167981,0,0,0,0,195166,0,0,0,0,215691,0,0,0,0,238375,0,0,0,0,263445,0,0,0,0,291151,0,0,0,0,323381,0,0,0,0,355611,0,0,0,0,376001,0,0,0,0,393720,0,0,0,0,415564
Algeria,DZA,"International migrant stock, total",SM.POP.TOTL,430447,0,0,0,0,208299,0,0,0,0,168949,0,0,0,0,160287,0,0,0,0,184995,0,0,0,0,288665,0,0,0,0,273954,0,0,0,0,262032,0,0,0,0,250110,0,0,0,0,247537,0,0,0,0,244964,0,0,0,0,242391
East Asia & Pacific (excluding high income),EAP,"International migrant stock, total",SM.POP.TOTL,3654785,0,0,0,0,3358527,0,0,0,0,3526661,0,0,0,0,2894083,0,0,0,0,2860501,0,0,0,0,2716501,0,0,0,0,2583562,0,0,0,0,3202727,0,0,0,0,4120191,0,0,0,0,5536825,0,0,0,0,7395657,0,0,0,0,8357168
Early-demographic dividend,EAR,"International migrant stock, total",SM.POP.TOTL,30137637,0,0,0,0,29105070,0,0,0,0,27960372,0,0,0,0,27585627,0,0,0,0,30462688,0,0,0,0,37042383,0,0,0,0,42323294,0,0,0,0,37838479,0,0,0,0,38155943,0,0,0,0,39296469,0,0,0,0,45133896,0,0,0,0,50581758
East Asia & Pacific,EAS,"International migrant stock, total",SM.POP.TOTL,8810669,0,0,0,0,9065287,0,0,0,0,9747795,0,0,0,0,9777213,0,0,0,0,10464877,0,0,0,0,10905673,0,0,0,0,11562099,0,0,0,0,13375683,0,0,0,0,15674381,0,0,0,0,18768866,0,0,0,0,22841512,0,0,0,0,25557256
Europe & Central Asia (excluding high income),ECA,"International migrant stock, total",SM.POP.TOTL,1347709,0,0,0,0,1328285,0,0,0,0,735465,0,0,0,0,461893,0,0,0,0,1066937,0,0,0,0,1187183,0,0,0,0,29836824,0,0,0,0,29125371,0,0,0,0,27780057,0,0,0,0,26818942,0,0,0,0,25929753,0,0,0,0,28128832
Europe & Central Asia,ECS,"International migrant stock, total",SM.POP.TOTL,13362297,0,0,0,0,15548394,0,0,0,0,16671090,0,0,0,0,17408604,0,0,0,0,19024605,0,0,0,0,20105272,0,0,0,0,58408632,0,0,0,0,61316132,0,0,0,0,64005283,0,0,0,0,71714401,0,0,0,0,79845132,0,0,0,0,85288550
Ecuador,ECU,"International migrant stock, total",SM.POP.TOTL,24061,0,0,0,0,32827,0,0,0,0,44787,0,0,0,0,59315,0,0,0,0,70354,0,0,0,0,77169,0,0,0,0,78663,0,0,0,0,115093,0,0,0,0,151523,0,0,0,0,187404,0,0,0,0,325366,0,0,0,0,387513
"Egypt, Arab Rep.",EGY,"International migrant stock, total",SM.POP.TOTL,212376,0,0,0,0,208115,0,0,0,0,203514,0,0,0,0,196071,0,0,0,0,188889,0,0,0,0,182920,0,0,0,0,173708,0,0,0,0,166955,0,0,0,0,173452,0,0,0,0,274001,0,0,0,0,295714,0,0,0,0,491643
Euro area,EMU,"International migrant stock, total",SM.POP.TOTL,6146651,0,0,0,0,7391692,0,0,0,0,8519702,0,0,0,0,9537875,0,0,0,0,10545351,0,0,0,0,11358050,0,0,0,0,20064759,0,0,0,0,22768012,0,0,0,0,26129209,0,0,0,0,33016886,0,0,0,0,39519428,0,0,0,0,40935248
Eritrea,ERI,"International migrant stock, total",SM.POP.TOTL,7703,0,0,0,0,8266,0,0,0,0,8896,0,0,0,0,9585,0,0,0,0,10323,0,0,0,0,11040,0,0,0,0,11848,0,0,0,0,12400,0,0,0,0,12952,0,0,0,0,14314,0,0,0,0,15676,0,0,0,0,15941
Spain,ESP,"International migrant stock, total",SM.POP.TOTL,210897,0,0,0,0,272201,0,0,0,0,355727,0,0,0,0,465542,0,0,0,0,609354,0,0,0,0,716881,0,0,0,0,821605,0,0,0,0,1020067,0,0,0,0,1657285,0,0,0,0,4107226,0,0,0,0,6280065,0,0,0,0,5852953
Estonia,EST,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381997,0,0,0,0,315755,0,0,0,0,249512,0,0,0,0,233701,0,0,0,0,217890,0,0,0,0,202348
Ethiopia,ETH,"International migrant stock, total",SM.POP.TOTL,393260,0,0,0,0,383551,0,0,0,0,394582,0,0,0,0,392082,0,0,0,0,404192,0,0,0,0,583658,0,0,0,0,1155390,0,0,0,0,806904,0,0,0,0,611384,0,0,0,0,514242,0,0,0,0,567720,0,0,0,0,1072949
European Union,EUU,"International migrant stock, total",SM.POP.TOTL,11492337,0,0,0,0,13502949,0,0,0,0,14940525,0,0,0,0,15872830,0,0,0,0,16827690,0,0,0,0,17594239,0,0,0,0,26957449,0,0,0,0,30456543,0,0,0,0,34332802,0,0,0,0,42706560,0,0,0,0,51301015,0,0,0,0,54070726
Fragile and conflict affected situations,FCS,"International migrant stock, total",SM.POP.TOTL,4635265,0,0,0,0,5451809,0,0,0,0,6111563,0,0,0,0,6451874,0,0,0,0,9020279,0,0,0,0,9144619,0,0,0,0,8876708,0,0,0,0,9819937,0,0,0,0,8603470,0,0,0,0,8680442,0,0,0,0,10439570,0,0,0,0,12225004
Finland,FIN,"International migrant stock, total",SM.POP.TOTL,32084,0,0,0,0,32196,0,0,0,0,32491,0,0,0,0,35352,0,0,0,0,38789,0,0,0,0,48822,0,0,0,0,63255,0,0,0,0,99729,0,0,0,0,136203,0,0,0,0,192169,0,0,0,0,248135,0,0,0,0,315881
Fiji,FJI,"International migrant stock, total",SM.POP.TOTL,20078,0,0,0,0,17953,0,0,0,0,16394,0,0,0,0,15071,0,0,0,0,14025,0,0,0,0,13103,0,0,0,0,13283,0,0,0,0,13001,0,0,0,0,12719,0,0,0,0,12435,0,0,0,0,13351,0,0,0,0,13751
France,FRA,"International migrant stock, total",SM.POP.TOTL,3507213,0,0,0,0,4447230,0,0,0,0,5210336,0,0,0,0,5571664,0,0,0,0,5890633,0,0,0,0,5952820,0,0,0,0,5897267,0,0,0,0,6087993,0,0,0,0,6278718,0,0,0,0,6737600,0,0,0,0,7196481,0,0,0,0,7784418
Faroe Islands,FRO,"International migrant stock, total",SM.POP.TOTL,1489,0,0,0,0,1716,0,0,0,0,1978,0,0,0,0,2280,0,0,0,0,2628,0,0,0,0,3029,0,0,0,0,4285,0,0,0,0,2900,0,0,0,0,3593,0,0,0,0,4583,0,0,0,0,5096,0,0,0,0,5517
"Micronesia, Fed. Sts.",FSM,"International migrant stock, total",SM.POP.TOTL,5848,0,0,0,0,5563,0,0,0,0,5292,0,0,0,0,5034,0,0,0,0,4542,0,0,0,0,4098,0,0,0,0,3685,0,0,0,0,3342,0,0,0,0,3116,0,0,0,0,2905,0,0,0,0,2805,0,0,0,0,2756
Gabon,GAB,"International migrant stock, total",SM.POP.TOTL,20865,0,0,0,0,29030,0,0,0,0,40391,0,0,0,0,61887,0,0,0,0,94824,0,0,0,0,110027,0,0,0,0,127980,0,0,0,0,152972,0,0,0,0,195571,0,0,0,0,214123,0,0,0,0,243992,0,0,0,0,268384
United Kingdom,GBR,"International migrant stock, total",SM.POP.TOTL,1661888,0,0,0,0,2541943,0,0,0,0,2945896,0,0,0,0,3147977,0,0,0,0,3356904,0,0,0,0,3535927,0,0,0,0,3650286,0,0,0,0,4155293,0,0,0,0,4730165,0,0,0,0,5926156,0,0,0,0,7604583,0,0,0,0,8543120
Georgia,GEO,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338300,0,0,0,0,278450,0,0,0,0,218600,0,0,0,0,199805,0,0,0,0,182202,0,0,0,0,168802
Ghana,GHA,"International migrant stock, total",SM.POP.TOTL,529720,0,0,0,0,427416,0,0,0,0,351973,0,0,0,0,384784,0,0,0,0,420653,0,0,0,0,494449,0,0,0,0,164851,0,0,0,0,252879,0,0,0,0,191601,0,0,0,0,304436,0,0,0,0,337017,0,0,0,0,399471
Gibraltar,GIB,"International migrant stock, total",SM.POP.TOTL,6765,0,0,0,0,7681,0,0,0,0,9071,0,0,0,0,9436,0,0,0,0,9747,0,0,0,0,9404,0,0,0,0,8709,0,0,0,0,8381,0,0,0,0,8054,0,0,0,0,9211,0,0,0,0,10369,0,0,0,0,11065
Guinea,GIN,"International migrant stock, total",SM.POP.TOTL,11313,0,0,0,0,13818,0,0,0,0,16878,0,0,0,0,20615,0,0,0,0,25180,0,0,0,0,30755,0,0,0,0,403621,0,0,0,0,774505,0,0,0,0,560075,0,0,0,0,229611,0,0,0,0,205111,0,0,0,0,228413
"Gambia, The",GMB,"International migrant stock, total",SM.POP.TOTL,31551,0,0,0,0,39073,0,0,0,0,48389,0,0,0,0,60210,0,0,0,0,75374,0,0,0,0,94358,0,0,0,0,118123,0,0,0,0,150890,0,0,0,0,182514,0,0,0,0,181905,0,0,0,0,185763,0,0,0,0,192540
Guinea-Bissau,GNB,"International migrant stock, total",SM.POP.TOTL,11643,0,0,0,0,11938,0,0,0,0,12241,0,0,0,0,12551,0,0,0,0,12869,0,0,0,0,12614,0,0,0,0,15368,0,0,0,0,27961,0,0,0,0,20450,0,0,0,0,20736,0,0,0,0,21061,0,0,0,0,22333
